Date,Open,High,Low,Close,Adj Close,Volume
2022-02-18,132.820007,133.910004,132.050003,133.419998,130.133148,10691800
2022-02-22,137.000000,137.000000,130.520004,132.399994,129.138275,19428700
2022-02-23,132.929993,136.080002,132.559998,135.550003,132.210678,16134200
2022-02-24,137.929993,138.229996,131.720001,134.850006,131.527939,22108900
2022-02-25,135.960007,140.500000,135.429993,140.380005,136.921707,28028000
2022-02-28,139.270004,144.000000,138.649994,144.000000,140.452515,24394300
2022-03-01,145.009995,149.960007,144.699997,149.720001,146.031601,31159900
2022-03-02,150.199997,155.750000,150.050003,154.139999,150.342728,31329500
2022-03-03,152.259995,157.119995,151.750000,156.220001,152.371475,22492900
2022-03-04,155.789993,159.949997,155.089996,158.649994,154.741592,29034400
2022-03-07,159.899994,162.100006,155.720001,162.039993,158.048080,34824700
2022-03-08,164.309998,174.000000,164.100006,170.529999,166.328918,57231000
2022-03-09,162.770004,169.770004,161.210007,166.270004,162.173874,43430000
2022-03-10,168.740005,174.759995,168.289993,170.820007,166.611801,34913600
2022-03-11,165.889999,172.979996,165.880005,170.899994,166.689804,28423600
2022-03-14,166.210007,168.350006,164.300003,166.720001,162.612793,25156200
2022-03-15,159.110001,160.190002,155.259995,158.279999,154.380722,28534400
2022-03-16,158.789993,160.500000,156.210007,157.710007,153.824768,22299700
2022-03-17,159.949997,160.990005,157.919998,160.440002,156.487518,15750700
2022-03-18,160.889999,161.729996,158.779999,161.729996,157.745712,23214700
2022-03-21,163.020004,165.580002,162.720001,164.639999,160.584030,13180600
2022-03-22,163.690002,165.259995,162.580002,164.089996,160.047592,11063900
2022-03-23,166.000000,167.350006,164.940002,165.860001,161.773987,10755000
2022-03-24,166.429993,167.399994,165.000000,166.300003,162.203140,9024800
2022-03-25,165.220001,169.690002,165.160004,169.309998,165.138992,10254700
2022-03-28,165.899994,166.630005,165.130005,166.350006,162.251907,9992000
2022-03-29,163.509995,164.479996,160.500000,164.320007,160.271927,15102600
2022-03-30,165.240005,166.350006,163.660004,165.479996,161.403336,9906000
2022-03-31,163.470001,166.160004,162.720001,162.830002,158.818619,10395900
2022-04-01,162.779999,165.949997,162.330002,164.220001,160.174393,8795300
2022-04-04,165.000000,165.449997,163.000000,164.369995,160.320679,8718600
2022-04-05,165.029999,167.720001,163.100006,163.360001,159.335571,9538200
2022-04-06,164.830002,167.009995,164.330002,164.809998,160.749847,9269000
2022-04-07,165.100006,167.699997,163.419998,167.100006,162.983429,8018400
2022-04-08,167.050003,171.100006,167.020004,169.929993,165.743713,10801200
2022-04-11,168.570007,168.779999,164.910004,165.559998,161.481384,10206100
2022-04-12,168.970001,172.679993,168.149994,169.009995,164.846375,9528400
2022-04-13,170.929993,172.080002,168.289993,171.669998,167.440842,7330700
2022-04-14,170.690002,172.940002,170.559998,171.589996,167.362823,9421100
2022-04-18,173.000000,174.539993,171.869995,173.889999,169.606155,7639000
2022-04-19,173.080002,173.690002,171.029999,171.830002,167.596909,6970200
2022-04-20,171.619995,173.580002,171.460007,172.529999,168.279663,7495000
2022-04-21,171.740005,172.440002,163.830002,164.580002,160.525528,14594800
2022-04-22,164.380005,165.470001,160.860001,160.949997,156.984940,12160100
2022-04-25,155.729996,158.360001,151.360001,157.490005,153.610184,15449800
2022-04-26,158.820007,160.369995,156.389999,156.529999,152.673828,9810600
2022-04-27,157.080002,157.919998,154.520004,156.240005,152.390976,10396600
2022-04-28,157.449997,163.000000,154.929993,161.789993,157.804230,9366400
2022-04-29,161.279999,162.440002,156.289993,156.669998,152.810379,14713200
2022-05-02,156.309998,160.000000,155.149994,159.750000,155.814499,11559000
